accession,reported_lineage,nextclade_call,pangolin_call,nextclade_match,pangolin_match,mean_depth,breadth_covered
SRR11140748,B,B,B,True,True,6306.44,0.9994
SRR11314339,B.1,B.1,B.1,True,True,4177.75,0.9994
SRR11397412,Unassigned,B,Unassigned,False,False,6412.55,0.4353
SRR11397716,B.33,B,B.33,True,True,2682.25,0.9903
SRR11454608,B,B,B,True,True,814.78,1.0
SRR11454612,Unassigned,B,Unassigned,False,False,32.77,0.9769
SRR11454613,B,B,B,True,True,3251.34,1.0
SRR11454614,B,B,B,True,True,6911.52,1.0
SRR11476449,A,B,A,False,True,20221.93,0.9985
SRR13835921,B.1.2,B.1.2,B.1.2,True,True,10058.24,1.0
SRR14294912,P.2,P.2,P.2,True,True,5140.08,0.9999
SRR14294913,P.1,P.1,P.1,True,True,5054.29,0.9997
SRR14460618,B.1.351,B.1.351,B.1.351,True,True,2618.8,0.9993
SRR15891234,AY.37,AY.37,AY.37,True,True,604.84,0.9951
SRR17210511,B.1.240,B.1.240,B.1.240,True,True,2005.13,0.9983
SRR17210512,B.1,B.1,B.1,True,True,3539.6,0.9974
